country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Burkina Faso,BF,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/burkina-faso,IRENA database,80.0,80.0,80.0,182.0,213.110000610352,236.110000610352,258.109985351563,255.110000610352,256.109985351563,256.111999511719,242.208999633789,304.266998291016,361.8330078125,251.490997314453,289.973999023438,334.25,331.665008544922,362.911987304688,378.355010986328,430.085998535156,430.575988769531,481.360992431641,511.955993652344,,
Burundi,BI,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/burundi,AFREC Database,98.0,114.0,126.0,100.0,90.0,95.0,92.0,116.0,111.0,120.0,230.0,150.0,178.703994750977,178.703994750977,179.0,181.360900878906,183.809005737305,185.493453979492,188.099716186523,190.78971862793,193.563766479492,196.42253112793,,,
Burundi,BI,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/burundi,AFREC Database,100.0,116.0,128.0,102.0,92.0,97.0,94.0,118.0,113.0,122.0,241.0,152.876007080078,183.959991455078,183.959991455078,184.0,186.4853515625,189.064865112305,260.342742919922,262.952758789063,266.43115234375,270.241058349609,274.378509521484,,,
Burundi,BI,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/burundi,IRENA database,59.7529983520508,59.7529983520508,59.7529983520508,59.7529983520508,59.7529983520508,59.7529983520508,59.7529983520508,59.7529983520508,59.7529983520508,59.7529983520508,59.7529983520508,69.7529983520508,70.1559982299805,75.1559982299805,75.1559982299805,75.4560012817383,76.2559967041016,104.185997009277,104.685997009277,104.685997009277,104.886001586914,111.786003112793,126.685997009277,,
Cameroon,CM,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/cameroon,AFREC Database,3092.0,2116.0,3334.0,2003.0,3920.0,3913.0,3719.0,3847.0,4232.0,4016.0,4260.0,4217.0,4470.02001953125,4231.0,4562.0,4359.0,4611.0,4787.037109375,4272.37255859375,4438.68359375,4612.68017578125,4795.01904296875,,,
Cameroon,CM,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/cameroon,AFREC Database,3130.0,2183.0,3453.0,2159.0,4110.0,4145.0,4018.0,5243.0,5681.0,5803.0,5899.0,5813.0,6104.52978515625,5907.791015625,6148.0,8010.7109375,8437.666015625,8662.5361328125,8338.869140625,8568.5439453125,8812.291015625,9067.0537109375,,,
Cameroon,CM,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/cameroon,IRENA database,790.299987792969,789.299987792969,861.799987792969,861.900024414063,871.900024414063,876.900024414063,901.900024414063,922.0,937.400024414063,1022.79998779297,1008.40002441406,999.200012207031,1099.59997558594,1274.84997558594,1276.84997558594,1332.34997558594,1333.94995117188,1448.84997558594,1451.39904785156,1531.39904785156,1531.52404785156,1532.88403320313,1534.36401367188,,
Cape Verde,CV,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/cape-verde,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Cape Verde,CV,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/cape-verde,AFREC Database,138.0,155.0,171.0,187.0,206.0,222.0,236.0,253.0,270.0,281.0,287.0,287.0,297.399993896484,297.399993896484,349.399993896484,359.671447753906,367.776245117188,490.944488525391,502.616180419922,515.237243652344,528.822143554688,598.882263183594,,,
Cape Verde,CV,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/cape-verde,IRENA database,76.1100006103516,76.1100006103516,78.2099990844727,78.7900009155273,79.5899963378906,79.4300003051758,70.318000793457,74.1179962158203,88.4860000610352,85.3420028686523,99.620002746582,122.139999389648,155.813995361328,141.134002685547,141.134002685547,178.485992431641,176.59700012207,176.755004882813,178.548004150391,174.47200012207,183.679992675781,185.893997192383,214.841003417969,,
Central African Republic,CF,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/central-african-republic,AFREC Database,84.0,83.0,83.0,110.0,126.300003051758,134.130004882813,139.0,136.0,136.0,135.0,135.0,139.0,148.729995727539,138.46760559082,138.833999633789,140.5615234375,142.32470703125,144.124160766602,141.855926513672,143.674163818359,145.52685546875,140.081100463867,,,
